Date,APOLLOHOSP.NS,COLPAL.NS,DLF.NS,HDFCBANK.NS,ICICIBANK.NS,KPITTECH.NS,NMDC.NS,ONGC.NS,POWERGRID.NS,TATAPOWER.NS
2022-01-03 00:00:00+00:00,4990.5,1463.800048828125,394.75,1519.6500244140625,764.7000122070312,608.1500244140625,103.99732208251953,143.0500030517578,153.75,223.39999389648438
2022-01-04 00:00:00+00:00,4964.60009765625,1464.800048828125,394.45001220703125,1528.550048828125,772.8499755859375,608.1500244140625,104.38164520263672,147.8000030517578,157.9499969482422,226.3000030517578
2022-01-05 00:00:00+00:00,4973.25,1466.1500244140625,402.04998779296875,1564.8499755859375,788.0499877929688,594.2000122070312,106.53384399414062,150.35000610351562,156.4875030517578,223.5
2022-01-06 00:00:00+00:00,4964.4501953125,1456.9000244140625,398.95001220703125,1539.75,785.0499877929688,630.4500122070312,106.57227325439453,150.8000030517578,154.46249389648438,228.4499969482422
2022-01-07 00:00:00+00:00,5021.85009765625,1469.9000244140625,400.6000061035156,1550.550048828125,793.25,711.25,106.57227325439453,157.0500030517578,153.89999389648438,229.8000030517578
2022-01-10 00:00:00+00:00,5065.25,1465.199951171875,407.95001220703125,1559.1500244140625,810.75,745.5499877929688,107.5715103149414,158.35000610351562,153.0,231.75
2022-01-11 00:00:00+00:00,5059.0498046875,1454.550048828125,408.8500061035156,1565.9000244140625,810.6500244140625,726.5999755859375,104.88126373291016,160.9499969482422,152.8874969482422,233.10000610351562
2022-01-12 00:00:00+00:00,5014.39990234375,1449.3499755859375,417.54998779296875,1556.6500244140625,823.75,714.2999877929688,108.60917663574219,164.9499969482422,153.71249389648438,237.75
2022-01-13 00:00:00+00:00,4983.35009765625,1466.3499755859375,410.79998779296875,1528.0,824.7000122070312,693.3499755859375,112.2602310180664,163.9499969482422,156.0,245.3000030517578
2022-01-14 00:00:00+00:00,4974.0498046875,1463.5999755859375,417.3500061035156,1545.1500244140625,820.0,683.8499755859375,112.18336486816406,161.0500030517578,155.8125,244.39999389648438
2022-01-17 00:00:00+00:00,4911.75,1467.1500244140625,423.79998779296875,1521.5,819.2999877929688,728.9500122070312,111.29943084716797,165.85000610351562,154.7624969482422,247.85000610351562
2022-01-18 00:00:00+00:00,4615.7998046875,1470.199951171875,403.8999938964844,1529.25,823.0999755859375,714.4000244140625,107.64837646484375,163.85000610351562,153.8625030517578,239.10000610351562
2022-01-19 00:00:00+00:00,4515.9501953125,1447.449951171875,408.25,1518.449951171875,808.5999755859375,699.1500244140625,108.83977508544922,170.25,153.4875030517578,248.5
2022-01-20 00:00:00+00:00,4644.7998046875,1434.5,407.8500061035156,1509.0,810.25,685.25,110.1080322265625,166.85000610351562,160.9875030517578,248.64999389648438
2022-01-21 00:00:00+00:00,4691.64990234375,1444.9000244140625,395.1000061035156,1521.5999755859375,804.5,673.5499877929688,107.41778564453125,163.64999389648438,161.3249969482422,241.9499969482422
2022-01-24 00:00:00+00:00,4498.14990234375,1404.0999755859375,372.0,1486.6500244140625,798.4500122070312,631.1500244140625,102.95965576171875,165.6999969482422,160.5,229.5500030517578
2022-01-25 00:00:00+00:00,4486.0,1417.699951171875,380.25,1488.050048828125,801.6500244140625,648.4000244140625,104.26634979248047,165.14999389648438,164.1374969482422,238.8000030517578
2022-01-27 00:00:00+00:00,4292.25,1394.1500244140625,374.1499938964844,1474.949951171875,794.6500244140625,633.0499877929688,103.15181732177734,165.6999969482422,161.1374969482422,241.0500030517578
2022-01-28 00:00:00+00:00,4478.60009765625,1401.5,378.3500061035156,1463.25,781.1500244140625,639.4000244140625,106.14952087402344,168.8000030517578,157.64999389648438,244.0500030517578
2022-01-31 00:00:00+00:00,4457.35009765625,1424.5,390.8999938964844,1485.699951171875,788.7999877929688,646.25,106.80287170410156,172.60000610351562,161.5500030517578,246.0500030517578
2022-02-01 00:00:00+00:00,4512.0498046875,1430.199951171875,404.79998779296875,1497.0,810.2999877929688,622.9000244140625,111.83747863769531,170.9499969482422,159.71249389648438,249.85000610351562
2022-02-02 00:00:00+00:00,4666.2998046875,1461.75,399.54998779296875,1531.199951171875,813.75,629.6500244140625,115.6806869506836,171.3000030517578,160.5,250.60000610351562
2022-02-03 00:00:00+00:00,4642.7998046875,1470.3499755859375,403.25,1515.3499755859375,808.9500122070312,621.7999877929688,118.33250427246094,167.5,158.47500610351562,252.85000610351562
2022-02-04 00:00:00+00:00,4687.89990234375,1455.0999755859375,399.5,1524.0,805.0499877929688,623.5,117.90975189208984,169.60000610351562,157.27499389648438,254.35000610351562
2022-02-07 00:00:00+00:00,4475.14990234375,1437.1500244140625,387.1499938964844,1468.1500244140625,786.4000244140625,626.7999877929688,118.33250427246094,172.10000610351562,160.2375030517578,251.8000030517578
2022-02-08 00:00:00+00:00,4399.5,1438.5999755859375,384.54998779296875,1461.8499755859375,792.5,613.9000244140625,117.90975189208984,166.9499969482422,157.53750610351562,234.85000610351562
2022-02-09 00:00:00+00:00,4577.25,1464.949951171875,386.3500061035156,1497.5999755859375,802.7999877929688,606.7000122070312,119.67762756347656,163.9499969482422,157.0124969482422,238.0
2022-02-10 00:00:00+00:00,4590.64990234375,1458.8499755859375,391.1499938964844,1525.0999755859375,805.5,608.3499755859375,122.44474029541016,169.10000610351562,159.03750610351562,241.3000030517578
2022-02-11 00:00:00+00:00,4514.89990234375,1455.5,378.6000061035156,1518.8499755859375,790.7999877929688,578.2000122070312,121.56080627441406,168.14999389648438,155.85000610351562,232.3000030517578
