Date,SMB,HML
2022-01-04 00:00:00+00:00,-0.003623393642592676,0.01914680390319412
2022-01-05 00:00:00+00:00,-0.017406836762510314,0.023146947629952286
2022-01-06 00:00:00+00:00,0.009516142225842739,0.004739291447639182
2022-01-07 00:00:00+00:00,-0.007547832678252653,0.013506340960536267
2022-01-10 00:00:00+00:00,0.0006909368799263849,-0.0009518316948745609
2022-01-11 00:00:00+00:00,0.006644646313085811,-0.0033165447041625384
2022-01-12 00:00:00+00:00,-0.004514408737924747,-0.0024440601259110295
2022-01-13 00:00:00+00:00,-0.0031077403343751087,0.02081698266295129
2022-01-14 00:00:00+00:00,0.003907464058366061,-0.004187456126691358
2022-01-18 00:00:00+00:00,-0.009806291453926641,0.008565918674285022
2022-01-19 00:00:00+00:00,-0.004439032235606377,0.0019949692898055815
2022-01-20 00:00:00+00:00,-0.006960822418824453,0.0029384995217830445
2022-01-21 00:00:00+00:00,-0.007045584709978958,0.01213494124598713
2022-01-24 00:00:00+00:00,0.017131192801437045,-0.006317001279417811
2022-01-25 00:00:00+00:00,-0.013790851547509808,0.018424367013979537
2022-01-26 00:00:00+00:00,-0.007659244810239829,-0.0073095556970974584
2022-01-27 00:00:00+00:00,-0.016055539082860726,0.005622601532277338
2022-01-28 00:00:00+00:00,0.00267233828412361,-0.020458493388236798
2022-01-31 00:00:00+00:00,0.015226831859556755,-0.01809819123125056
2022-02-01 00:00:00+00:00,0.004465668811995949,-0.0005181397811551136
2022-02-02 00:00:00+00:00,-0.010267529809166343,0.0011910787815712087
2022-02-03 00:00:00+00:00,-0.003938911462896044,0.025859287906649153
2022-02-04 00:00:00+00:00,0.0046868307133010045,-0.01175621144295702
2022-02-07 00:00:00+00:00,0.0019905277965286405,0.007780558288345674
2022-02-08 00:00:00+00:00,0.005278920283211974,-0.0036375664968151256
2022-02-09 00:00:00+00:00,0.011192141872575334,-0.00847810014944117
2022-02-10 00:00:00+00:00,0.0007038292285765912,0.006878322056828812
2022-02-11 00:00:00+00:00,0.001962819807152294,0.018393816731455015
2022-02-14 00:00:00+00:00,-0.0002156226546158324,-0.00831270661360406
2022-02-15 00:00:00+00:00,0.011129674369604992,-0.011071324955201911
2022-02-16 00:00:00+00:00,0.0037669301344570583,0.0022724833456442273
2022-02-17 00:00:00+00:00,-0.006321520400225267,0.01333864802882001
2022-02-18 00:00:00+00:00,-0.0007526356167329995,0.006412230250756434
2022-02-22 00:00:00+00:00,0.0002740526664610776,0.0049098828247399195
2022-02-23 00:00:00+00:00,-0.004906771166132806,0.012047630771043982
2022-02-24 00:00:00+00:00,0.01827234646597442,-0.0310763463211583
2022-02-25 00:00:00+00:00,0.00126543739761531,0.011432189912848001
2022-02-28 00:00:00+00:00,0.0068822185126172775,-0.0076287198955026225
2022-03-01 00:00:00+00:00,-0.0007940716637545586,-0.0006642178323488235
2022-03-02 00:00:00+00:00,0.005566682436656478,0.0032557932024306346
2022-03-03 00:00:00+00:00,-0.0069584773245801035,0.015001136135492144
2022-03-04 00:00:00+00:00,-0.011670919652890355,0.011161786781581196
2022-03-07 00:00:00+00:00,-0.008562297623344595,0.016221753200349798
2022-03-08 00:00:00+00:00,0.009101312584836485,-0.0024772349539768923
2022-03-09 00:00:00+00:00,0.00835292009063382,-0.01966279624180456
2022-03-10 00:00:00+00:00,0.0027849419994614433,0.006810262167691761
2022-03-11 00:00:00+00:00,-0.0077563117660754965,0.011597897243687205
2022-03-14 00:00:00+00:00,-0.014589801664600555,0.01563337417627364
2022-03-15 00:00:00+00:00,-0.002004594980230756,-0.01833061651934398
2022-03-16 00:00:00+00:00,0.014352715480757894,-0.01690005314713061
2022-03-17 00:00:00+00:00,0.0023355898940500275,-0.0012522536062813394
2022-03-18 00:00:00+00:00,0.002365782333939359,-0.018058431354092797
2022-03-21 00:00:00+00:00,0.0020631049715491567,0.005270385390965582
2022-03-22 00:00:00+00:00,0.001521806363461442,-0.010905457861863255
2022-03-23 00:00:00+00:00,-0.0033296207925032073,0.0028602236954085036
2022-03-24 00:00:00+00:00,0.0005639448000376301,-0.008644254570656651
2022-03-25 00:00:00+00:00,-0.0011742857716670052,0.01079594727189781
2022-03-28 00:00:00+00:00,-0.002293664919267746,-0.015952641953588365
2022-03-29 00:00:00+00:00,0.01583944217511224,-0.008295904829705547
2022-03-30 00:00:00+00:00,-0.014081315737832889,0.008757364243131227
2022-03-31 00:00:00+00:00,0.0016137911482472234,0.00048394118607186787
2022-04-01 00:00:00+00:00,0.00448217299614484,0.0017435003935799553
2022-04-04 00:00:00+00:00,-0.001389427200596538,-0.01938610527272211
2022-04-05 00:00:00+00:00,-0.011666631542497807,0.012331519490158316
2022-04-06 00:00:00+00:00,-0.008654175625163574,0.022843225032953662
2022-04-07 00:00:00+00:00,-0.00459357548474737,0.0008807070961454055
2022-04-08 00:00:00+00:00,-0.007739862522002761,0.016205920667266893
2022-04-11 00:00:00+00:00,0.007102502244816344,0.01327319196362009
2022-04-12 00:00:00+00:00,0.003384092574473252,0.00042353692507368645
2022-04-13 00:00:00+00:00,0.008121468049532732,-0.009398870607741472
2022-04-14 00:00:00+00:00,-0.004932220990240266,0.013845687735685286
2022-04-18 00:00:00+00:00,-0.004436484702501575,0.00020880797662559125
2022-04-19 00:00:00+00:00,0.007510809472596414,-0.008072799319068569
2022-04-20 00:00:00+00:00,-0.002602143339309304,0.01640188084687677
2022-04-21 00:00:00+00:00,-0.010845613814867816,0.006123747046581807
2022-04-22 00:00:00+00:00,0.002092786294112914,0.0030002202695634805
